epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6248,1.65183,4.33692,1.6212,0,0,0,0,1.30648,4.31626,1.38063,7.659e-05,7.659e-05,7.659e-05
2,180.913,1.30981,3.99904,1.36649,0.02813,0.41538,0.04623,0.03373,1.05826,4.09556,1.25961,0.000151345,0.000151345,0.000151345
3,268.554,1.16968,3.70035,1.31508,0.70327,0.11923,0.11386,0.08396,1.14977,3.768,1.31745,0.000220826,0.000220826,0.000220826
4,355.472,1.19737,3.46101,1.32312,0.73017,0.12152,0.16779,0.11113,1.11958,3.71271,1.28628,0.000285031,0.000285031,0.000285031
5,442.46,1.15795,3.31206,1.30984,0.5736,0.29517,0.19746,0.13675,1.07391,3.45899,1.28518,0.000289044,0.000289044,0.000289044
6,529.053,1.16257,3.16274,1.31389,0.40987,0.34447,0.25605,0.17359,1.09527,3.25721,1.29144,0.000278055,0.000278055,0.000278055
7,616.45,1.12679,3.0345,1.30514,0.3757,0.34787,0.30903,0.22775,1.03507,3.08881,1.27644,0.000267066,0.000267066,0.000267066
8,707.416,1.12018,2.91254,1.284,0.4258,0.30593,0.33205,0.2466,1.05083,3.00845,1.26739,0.000256077,0.000256077,0.000256077
9,795.065,1.09196,2.78405,1.27918,0.38165,0.33799,0.34273,0.26266,1.03137,2.75943,1.25435,0.000245088,0.000245088,0.000245088
10,881.896,1.05778,2.68246,1.24733,0.34869,0.45078,0.37994,0.29388,0.96891,2.72334,1.24129,0.000234099,0.000234099,0.000234099
11,970.178,1.06498,2.64323,1.26153,0.26461,0.49505,0.4003,0.31187,0.97412,2.56937,1.23333,0.00022311,0.00022311,0.00022311
12,1059.27,1.03602,2.56899,1.25348,0.36985,0.44717,0.4169,0.31471,0.96612,2.56228,1.2063,0.000212121,0.000212121,0.000212121
13,1154.75,1.05341,2.45794,1.24261,0.4073,0.49387,0.46448,0.34769,1.03196,2.50291,1.23059,0.000201132,0.000201132,0.000201132
14,1246.2,1.01408,2.39832,1.23605,0.4719,0.53246,0.47276,0.35812,0.9098,2.3549,1.20904,0.000190143,0.000190143,0.000190143
15,1339.82,1.00646,2.35351,1.22023,0.45397,0.54594,0.49866,0.37515,0.94501,2.27164,1.2159,0.000179154,0.000179154,0.000179154
16,1434.44,0.97153,2.26832,1.20152,0.4784,0.60954,0.50857,0.39376,0.89286,2.2279,1.22275,0.000168165,0.000168165,0.000168165
17,1527.23,0.93089,2.22701,1.19437,0.3906,0.59961,0.51259,0.39485,0.9467,2.14256,1.22374,0.000157176,0.000157176,0.000157176
18,1621.62,0.93512,2.17696,1.1838,0.44096,0.61549,0.52966,0.41559,0.84828,2.05938,1.17197,0.000146187,0.000146187,0.000146187
19,1716.08,0.96784,2.17455,1.2074,0.36312,0.61388,0.5045,0.39288,0.90138,2.15492,1.16607,0.000135198,0.000135198,0.000135198
20,1820.62,0.95027,2.12516,1.20688,0.43626,0.68218,0.53906,0.42607,0.84977,2.03814,1.16493,0.000124209,0.000124209,0.000124209
21,1920.41,0.91449,2.18159,1.20735,0.45833,0.61264,0.51652,0.40166,0.90287,2.19712,1.21664,0.00011322,0.00011322,0.00011322
22,2016.57,0.82012,2.04899,1.16922,0.45719,0.70136,0.56891,0.45846,0.81041,2.08325,1.15172,0.000102231,0.000102231,0.000102231
23,2109.6,0.79723,1.95695,1.16712,0.45216,0.66234,0.57387,0.46218,0.82861,1.99048,1.14957,9.1242e-05,9.1242e-05,9.1242e-05
24,2204.82,0.76376,1.9059,1.1362,0.45797,0.68295,0.60714,0.49654,0.75657,1.95345,1.11759,8.0253e-05,8.0253e-05,8.0253e-05
25,2303.49,0.75568,1.82371,1.12966,0.46789,0.67475,0.60933,0.49404,0.75502,1.9101,1.10994,6.9264e-05,6.9264e-05,6.9264e-05
26,2400.76,0.76023,1.83868,1.14349,0.50413,0.68135,0.61535,0.50617,0.70626,1.90329,1.09912,5.8275e-05,5.8275e-05,5.8275e-05
27,2496.6,0.74247,1.81713,1.12539,0.44974,0.75445,0.6276,0.51825,0.73025,1.8494,1.10655,4.7286e-05,4.7286e-05,4.7286e-05
28,2592.64,0.72394,1.75518,1.11957,0.47529,0.71466,0.62639,0.52164,0.73913,1.81289,1.10267,3.6297e-05,3.6297e-05,3.6297e-05
29,2685.84,0.70275,1.73023,1.1017,0.47345,0.73877,0.64071,0.53704,0.6868,1.80415,1.08329,2.5308e-05,2.5308e-05,2.5308e-05
30,2780.52,0.70816,1.75491,1.10681,0.4681,0.73865,0.6465,0.54613,0.68344,1.78576,1.08473,1.4319e-05,1.4319e-05,1.4319e-05
